CODE,NAME,AMOUNT,DATE,REPNAME,MARK,BALANCE
GH98781,ALIBABA AUTO PARTS(KOKOMPE),1025,2026/2/26,AKORFA,PICK UP MOMO LATIFA,68086
GH98880,KASSIM SOMED(TEMA),9500,2026/2/26,BENEDICTA,SHOP WEEKLY BENEDICTA,18852
GH98914,FRANPOKU ENT(ABOSSEY OKAI),13000,2026/2/26,LINDA,SEND TO SHOP 1OOOO CASH+CREDIT LINDA,32300
GH98960,HETTY'S AUTO LIGHT (KOMKOMPE),2100,2026/2/26,PRINCE B,PICK UP CASH PRINCE B,7573.04
GH98998,CHRISLAW AUTO PARTS (KOKOMPE),7260,2026/2/26,AKORFA,"AKORFA,PICK UP PAY MOMO",7260
GH99001,PHILIP SPRINTER(ACHIMOTA),1700,2026/2/26,AKORFA,SHOP CASH AKORFA,1692
GH99015,PATRICIA SPRINTER (ABLEKUMA),660,2026/2/26,AKORFA,PICK UP CASH AKORFA,17477.15
GH99075,ABDULAZIZ (ASHAIMAN),2000,2026/2/26,BENEDICTA,SEND TO SHOP CREDIT,33062
GH99081,HANNAN HEAVY DUTY (KUMASI),1080,2026/2/26,ENOCH,"DIANA,SEND TO STATION WEEKLY",1080
GH10145,KWAKU SAAH MOTORS (ABOSSEY OKAI),13500,2026/2/25,AMOAH HILDA,SEND TO SHOP CASH HILDA,67172.6
GH10233,RANS O VENTURES (KUMASI),81365,2026/2/25,KOFI,"SEND TO STATION ON CREDIT,带10件长袖工衣",473962.84
GH10042,MIC-MAY ENT (MADINA),85500,2026/2/25,AKORFA,"AKORFA,SEND TO SHOP ON CREDIT",339792.9
GH10759,KING OWUEFFA KUMASI,22495,2026/2/25,KOFI,SEND TO STATION ON CREDIT,89960
GH10027,PK ASSAN ENTERPRISE(SWERDU),39200,2026/2/25,ESTHER YEBOAH,PICK UP WEEKLY,290568.54
GH10971,PRESMAR AUTO PARTS(KOKOMPE),2675,2026/2/25,PRINCE B,PICK UP WEEKLY PRINCE B,2448
GH11492,BIG JUDE MICHANTY MOTORS(TEMA),1380,2026/2/25,BENEDICTA,PICK UP MOMO HANNAH,54269.48
GH10620,CLUTCH HOUSE(MADINA),1008,2026/2/25,AKORFA,PICK UP MOMO LATIFA,1309.5
GH98522,ROBERT HAGAN(FOSU),15000,2026/2/25,KUMBALA,"KUMBAL,PICK UP ON CREDIT",146396.6
GH10211,BLUE ARROW AUTO (ABOSSEY OKAI),11560,2026/2/25,AMOAH HILDA,SHOP CHEQUES HILDA,11560
GH10168,NABO MOTORS (ABOSSEY OKAI),31280,2026/2/25,朱立刚,"SHOP 20,000 LATIFA",34280
GH98578,FREE BOY AUTO PARTS(ABOSSEY OKAI),2980,2026/2/25,AKORFA,"LATIFA,PICK UP PAY CASH",31176.5
GH98609,BAMFO MOTORS(ABOSSEY OKAI),33950,2026/2/25,AMOAH HILDA,SHOP CHEQUES 商,446870.02
GH98771,FATHULAHI ENTERPRISE (AWUDOME),6600,2026/2/25,AKORFA,"AKORFA,SEND TO SHOP ON CREDIT",16977
GH98791,K.AUTO ENGINEERING ENT(ABOSSEY OKAI),1900,2026/2/25,商宇琛,"LATIFA,PICK UP ON CREDIT",211199
GH98801,DADDY BATTERY (KOTOBABI),31200,2026/2/25,PRINCE B,SHOP CHEQUES PRINCE B,32338
GH98817,JAAH ALONE AUTO PARTS(AMASAMAN),1100,2026/2/25,AKORFA,SHOP CREDIT AKORFA,82792.65
GH98846,ERICOS BROTHER (CAPE COAST),32200,2026/2/25,KUMBALA,"KUMBALA,SEND TO STATION ON CREDIT",118406.4
GH98990,IT IS WELL BATTERY (MADINA),14760,2026/2/25,AKORFA,"AKORFA,PICK UP PAY WEEKLY",2100
GH99006,JAMES SPRINTER (KUMASI),6425,2026/2/25,KOFI,SEND TO STATION ON CREDIT,102122
GH99121,MOSQUITO ENTERPRISE (SUNYANI),9700,2026/2/25,KUMBALA,"KUMBALA,SEND TO STATION 5000 TODAY",700.2
GH99131,EGEMS VENTURES HEAVY DUTY (ASHAIMAN),11700,2026/2/25,BENEDICTA,"BENDICTA,SEND TO SHOP PAY CHEQUE",108900
GH99213,ERIC ABOAGYE (MADINA),22960,2026/2/25,ESTHER YEBOAH,PICK UP 2 WEEKS LATIFA,12959.13
GH99226,JM SPRINTER AUTO (MADINA),22587,2026/2/25,AKORFA,SHOP 2 WEEKS AKORFA,19491.1
GH99254,WILLIAM ASIEDU MOTORS(ABOSSEY OKAI),5600,2026/2/25,PRINCE,SHOP CASH PRINCE,5600
GH10140,JONYARK MOTORS (ABOSSEY OKAI),1675,2026/2/25,PRINCE,PICK UP CASH PRINCE,1669
GH99318,BIG APPLE (ABOSSEY OKAI),1850,2026/2/25,PRINCE,PICK UP CASH PRINCE,850
GH99305,ALHAJI CHAIRMAN MOTORS (ALAJI),22000,2026/2/25,PRINCE B,SHOP CREDIT PRINCE,45490
GH10123,OFORI BA OFORI MOTORS (ABOSSEY OKAI),7200,2026/2/24,BOATEMAA ABIGAIL,"TO SHOP CREDIT,ABI",62300.15
GH11903,PAUL GEES MOTORS(ABOSSEY OKAI),980,2026/2/24,AMOAH HILDA,"HILDA,PICK UP PAY CASH",11643
GH10114,AB ACHEMPIO MOTORS (ABOSSEY OKAI),39460,2026/2/24,BOATEMAA ABIGAIL,SEND TO SHOP CHEQUE ABI,224324.5
GH10325,NATHANIEL(KUMASI),6260,2026/2/24,KOFI,STATION CREDIT,42955.29
GH10132,FAMASCO ENT (ABOSSEY OKAI),9140,2026/2/24,PRINCE,SEND TO SHOP CASH CHEQUE PRINCE,19939
GH98812,ESSEL BUSHINGS(LAPAZ),8601,2026/2/24,AKORFA,PICK UP NEXT WEEK LATIFA,5578
GH98852,KSP ENT(ABOSSEY OKAI),7090,2026/2/24,LINDA,SEND TO SHOP CHEQUE6000+CREDIT,28156
GH98879,BENWUS MOTORS(ABOSSEY  OKAI),2876,2026/2/24,LINDA,PICK UP CASH LINDA,2856
GH98929,MIGHTY MOTORS (ABOSSEY OKAI),3700,2026/2/24,LINDA,PICK UP CASH LINDA,3700
GH98965,AGYENKWA MOTORS (ABOSSEY OKAI),5600,2026/2/24,LINDA,PICK UP CASH LINDA,5600
GH98531,BERNARD AKIAH HEAVY DUTY(KUMASI),8320,2026/2/24,ENOCH,TO STATION CREDIT NEXT TIME PAY MORE THAN THE ORDER AMOUNT,105302
GH99160,NAKUS KAY VENTURES (ABOSSEY OKAI),4500,2026/2/24,PRINCE,PICK UP CASH PRINCE,1500
GH10110,BOAKOMEA MOTORS (ABOSSEY OKAI),80,2026/2/23,朱立刚,"PICK UP CREDIT,ABI",252224.75
GH10134,OHENEBA SIDOUG (ABOSSEY OKAI),1656,2026/2/23,朱立刚,SEND TO SHOP CREDIT,94490
GH10811,LALAS MOTORS(ABOSSEY OKAI),13380,2026/2/23,BOATEMAA ABIGAIL,SEND TO SHOP CREDIT ABI,307269.05
GH10095,SASCO MOTORS (AVENOR),7200,2026/2/23,AKORFA,PICK UP CREDIT LATIFA,33111.4
GH11521,ABLAKWA AUTO PARTS(ABBOSEY OKAI),1062,2026/2/23,LINDA,"PICK UP CASH,LINDA",1062
GH98752,DANFOS AUTO(SUNYANI),944,2026/2/23,KUMBALA,"LATIFA,SEND TO STAION PAY CASH",18
GH10915,JUNIOR FAN BELT(ABOSSEY OKAI),5500,2026/2/23,LINDA,PICK UP CHEQUE ON FRIDAY LINDA,25155
GH99013,CELENCO SPRINGTER (KUMASI),162218.4,2026/2/23,KOFI,"SEND TO STATION WEEKLY,带10件工衣",176328.4
GH99191,TOMJOE ROYAL TRUCK (KUMASI),7000,2026/2/23,ENOCH,SEND TO STATION WEEKLY,11999.2
GH99290,MADAM RITA SPRINTER (KUMASI),27830,2026/2/23,ENOCH,"KOFI,SEND TO STATION WEEKLY",27829.05
GH99292,ESTHER SPRINTER (KUMASI),10628.8,2026/2/23,KOFI,"KOFI,SEND TO STATION WEEKLY",109265.84
GH10274,SEFA WILLIAM MOTORS(TEMA),7320,2026/2/21,BENEDICTA,"HANNA,PICK UP PAY MOMO",23761.85
GH98646,K-WYSE ENTERPRISE(HO),48010,2026/2/21,BENEDICTA,PICK UP CREDIT BENY,48002
GH98997,WINIFRED KOTIA (TAMALE),7150,2026/2/21,KUMBALA,"KUMBALA,SEND TO STATION ON CREDIT",25355.8
GH10153,MERCOM AUTO PARTS (ABOSSEY OKAI),22561,2026/2/20,LINDA,SEND TO SHOP CHEQUE LINDA,41292
GH10356,QUANSAH AUTO PARTS (ABOSSEY OKAI),2812,2026/2/20,LINDA,"PICK UP CASH,LINDA",976
GH10970,SAFETY MOTOR (PAMPRO),1150,2026/2/20,LINDA,"PICK UP CASH,LINDA",150
GH10266,TWUM BARIMA ENT(ABOSSEY OKAI),5800,2026/2/20,AMOAH HILDA,PICK UP CHEQUE HILDA,12908.8
GH92131,PRINCE SHOCKS(ABSOEEY OKAI),24615,2026/2/20,AMOAH HILDA,SEND TO SHOP CREDIT,60385
GH98977,THE GREAT (ABOSSEY OKAI),29700,2026/2/20,LINDA,SEND TO SHOP CASH + CHEQUE,9700
GH99036,ABRAHAM NETTEY (ABOSSEY OKAI),3093,2026/2/20,AMOAH HILDA,"TO SHOP CASH,HILDA",396
GH99061,EBENAKO MOTORS HEAVY DUTY (ASHAIMAN),7120,2026/2/20,BENEDICTA,SEND TO SHOP CREDIT CUTE BENY,7120
GH99059,A.T ENTERPRISE(ASHAIMAN),102864,2026/2/20,BENEDICTA,SEND TO SHOP ON CREDIT,59565
GH99128,OKUCASH AUTO (KUMASI),24800,2026/2/20,BOATEMAA ABIGAIL,"TO STATION,MOMO,ABI",4534
GH99324,OBAA YAA CARAGISE (KUMASI),3520,2026/2/20,ENOCH,"DIANA,SEND TO STATION WEEKLY",3520
GH99340,ALHAJI ENTERPRISE (KOMKOMPE),1400,2026/2/20,PRINCE B,"PRINCE B,PICK UP PAY CASH",1400
GH10276,OMARISCO AUTO PARTS(ABOSSEY OKAI),10060,2026/2/19,AMOAH HILDA,"PICK UP CHEQUE,HILDA",3000
GH98641,BERMUDA MOTORS(DOME),13592,2026/2/19,AKORFA,SHOP CREDIT AKORFA,17456.08
GH98901,FRANK ARMOHS AUTO (TEMA MANKWADE),920,2026/2/19,BENEDICTA,SHOP 20000 BENY,62637.59
GH98938,GRACE BOADI ENTERPRISE（Loc Kasoa),5610,2026/2/19,AKORFA,SHOP CASH MONDAY AKORFA,5610
GH99047,ONE AND HALF ENTERPRISE (ACCRA),1900,2026/2/19,PRINCE B,PICK UP CASH PRINCE B,1898
GH10025,AVETOS AUTO PARTS (TAIFA JUNCTION),1450,2026/2/18,AKORFA,PICK UP CASH AKORFA,124438.8
GH10106,KWAKU-AKUA,550,2026/2/18,商宇琛,PICK UP MOMO LATIFA,350129.5
GH10086,BY HIS GRACE MOTORS (KOFORIDUA),17261,2026/2/18,PRINCE B,PICK UP CREDIT PRINCE B,226574.11
GH10301,ABU TAHIRU MOHAMMED (ASHAIMAN),31200,2026/2/18,BENEDICTA,SHOP CREDIT BENEDICTA,362405.6
GH10315,ALIMAYS MOTOR(KOFORIDUA),1000,2026/2/18,PRINCE B,PICK UP MOMO LATIFA,53627.87
GH10260,LIZZY MOTORS (KOKOMPE),2100,2026/2/18,PRINCE B,PICK UP CASH PRINCE B,3744
GH10929,PHISHERS ENTERPRISE(ABOSSEY OKAI),9900,2026/2/18,BOATEMAA ABIGAIL,"PICK UP TO REPLACE RETURN,ABI",539020.6
GH98727,DACOSPONG CO LTD.（ABOSSEY OKAI）,1000,2026/2/18,PRINCE B,PICK UP MOMO LATIFA,60792.5
GH10041,EKUFUL KOBBY AND FRIENDS SPARE PARTS(MADINA),89870,2026/2/17,AKORFA,SHOP CREDIT SABINA,139099.18
GH10138,ABOVE ALL AUTO PARTS (ABOSSEY OKAI),4950,2026/2/17,AMOAH HILDA,"TO SHOP CREDIT,HILDA",8474
GH98623,HARUMA ADAMS(TARKWA),24110,2026/2/17,KUMBALA,STATION CREDIT KUMBALA,32131.7
GH98620,JADEN GOODS SERVICES(TEMA),52294,2026/2/17,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT PAID 40000",64524
GH98635,NIISCO AUTO,3600,2026/2/17,PRINCE,"PICK UP MOMO,SABINA",597
GH98655,RIVER HORDAN MOTORS(MADINA),18500,2026/2/17,AKORFA,"AKORFA,PICK UP ON CREDIT",16520
GH98874,BOATEMAA ENT(TEMA),2918,2026/2/17,BENEDICTA,PICK UP CASH CUTE BENY,54453
GH99034,IBRAHIM AUTO PARTS (KOKOMPE),8150,2026/2/17,PRINCE B,PICK UP CASH LATIFA,34
GH99336,MADAM CHRISTY (BAAHYARD),2875,2026/2/17,KUMBALA,SHOP CASH KUMBALA,725
GH10187,NEW MAN (ABOSSEY OKAI),3620,2026/2/14,AMOAH HILDA,"TO SHOP CASH,HILDA",24121.68
GH99347,GRACE NKRAMAH HEAVY DUTY（KUMASI),35800,2026/2/14,ENOCH,SEND TO STATION WEEKLY,25800
GH10019,MR.JONES (TAKORADI),75411,2026/2/13,KUMBALA,"KUMBALA,SEND TO STATION ON CREDIT",75411
GH10788,LARWEH SPARE PARTS(TEMA),29400,2026/2/13,BENEDICTA,"BENEDICTA,SEND TO SHOP PAY WITH 2 WEEKS",321804
GH10922,OLUMAN(ABOSSEY OKAI),925,2026/2/13,PRINCE,"PICK UP CASH,PRINCE",3910
GH10084,ALEX BOAT SPARE (KOFORIDUA),2570.5,2026/2/13,PRINCE B,PICK UP CASH PRINCE B,184987.66
GH10209,ABOSSEY NANA YAW,44688,2026/2/13,AMOAH HILDA,"TO SHOP PAY 20K CASH,REST WITHIN MONTH,HILDA",59708
GH98827,OMNICUP VENTURE(ABOSSEY OKAI),1415,2026/2/13,PRINCE,"PICK UP CASH,PRINCE",9182
GH99127,OOH YES LORD HEAVY DUTY (AVENO),3560,2026/2/13,BENEDICTA,PICK UP CASH TO CUTE BENY,13815.5
GH99130,CELIA HEAVY DUTY (AVENOR),8290,2026/2/13,BENEDICTA,"TO SHOP CREDIT BY RIDER,SHANG",25710
GH99230,SALMAT A. HEAVY VENTURES(KUMASI),1500,2026/2/13,ENOCH,SEND TO STATION WEEKLY,10661
GH99155,SUMOH HEAVY DUTY COMPANY(KUMASI),5400,2026/2/13,ENOCH,SEND TO STATION WEEKLY CASH,5400
GH99344,A.B MOTORS(AWOSHIE),868,2026/2/13,KUMBALA,SHOP CASH KUMBALA,1
GH10173,HANNANUELLA RADIATOR (ABOSSEY OKAI),800,2026/2/12,AMOAH HILDA,PICK UP CREDIT,27827.5
GH10119,BIG FRIENDS MOTORS (ABOSSEY OKAI),27600,2026/2/12,BOATEMAA ABIGAIL,SEND TO SHOP CREDIT ABI,77380
GH98542,OSEI SAMPONG RIGHT HOUSE1(ABOSSEY OKAI),15495,2026/2/12,BENEDICTA,SHOP WEEKLY BENEDICTA,46525
GH10188,CALL OUT ENT (ABOSSEY OKAI),8680,2026/2/12,AMOAH HILDA,"TO SHOP CHEQUE,HILDA",4820
GH99018,FRANK DARKO MOTORS (KASOA),2500,2026/2/12,KUMBALA,PICK UP BANK MONTH LATIFA,20000
GH99143,AYITEY LAWERH JAMES BUSH(ABURASO),846,2026/2/12,AKORFA,PICK UP MOMO HANNAH,21180
GH10009,KMENS ENT (TEMA),12000,2026/2/11,BENEDICTA,"PICK UP CASH,BENY(Q)",57607
GH10116,AYENSU AUTO PARTS (ABOSSEY OKAI),1400,2026/2/11,朱立刚,PICK UP CREDIT,290254.22
GH10999,ELIK MOTORS (ABOSSY OKAI),3110,2026/2/11,AMOAH HILDA,"PICK UP CASH,HILDA",6320
GH10162,PADDY MOTORS (ABOSSEY OKAI),40420,2026/2/11,PRINCE,SEND TO SHOP 20000CASH + CREDIT 4 week,22328.26
GH10175,ONE K.MOTORS (ABOSSEY OKAI),27020,2026/2/11,LINDA,TO SHOP CREDIT,17020
GH99099,NEW EBEN AUTO PARTS(MADINA),5600,2026/2/11,AKORFA,PICK UP WEEKLY AKORFA,5560
GH99109,NO JESUS NO LIFE HEAVY DUTY (AHSAIMAN),5100,2026/2/11,BENEDICTA,SEND TO SHOP CASH 7000,7000
GH10184,AMSCO MOTORS (ABOSSEY OKAI),4725,2026/2/10,PRINCE,"TO SHOP REPLACE RETURNS,ABI",89982
GH10351,PAZASH(ABOSSEY OKAI),1202,2026/2/9,PRINCE,PICK UP MOMO STEPHAINE,2866
GH10088,ETP ENTERPRISE (KASOA),1890.5,2026/2/9,ESTHER YEBOAH,SHOP CREDIT ESTHER Y,1289441.67
GH101176,PHOENIX MOTORS(KOFORIDUA),8660,2026/2/9,PRINCE B,PICK UP WEEKLY P;RINCE B,3660
GH98676,SERVX AUTO(MADINA),10550,2026/2/9,AKORFA,SHOP CHEQUES AKORFA,5550
GH10006,COASTAL BATTERY (TESANO),5000,2026/2/9,PRINCE B,SHOP CREDIT PRINCE B,5000
GH10318,ACHISCO(ABOSSEY OKAI),788,2026/2/9,PRINCE,PICK UP CASH PRINCE,36
GH98556,FRANCIS(KUMASI),6000,2026/2/9,KOFI,STATION WEEKLY 李,7020
GH99041,TOP C MOTOR (KUMASI),28590,2026/2/9,KOFI,STATION CASH ADD 5 T-SHIRT 李,13652
GH99312,MAAME SERWAH SPRINTER (KUMASI),61072,2026/2/9,KOFI,"SEND TO STATION WEEKLY,带10件长袖，2件短袖",49158
GH18786,YAW ANNAN ENT(TARKWA),14500,2026/2/5,KUMBALA,STATION 30000+15000 KUMBALA,107032.42
GH98660,BEST AUTO SOLUTION (ABOSSEY OKAI),1300,2026/2/5,PRINCE,PICK UP MOMO HANNAN,2060
GH98892,HOME BORGA ENTERPRISE (KUMASI),28000,2026/2/5,KOFI,"KOFI,SEND TO STATION ON CREDIT",58450
GH99122,AMASS ENT. HEAVY DUTY (TAKORADI),33626,2026/2/5,BENEDICTA,SEND TO STATION ON CREDIT,65002.4
GH99228,JUPEE MOTORS(ABOSSEY OKAI),1560,2026/2/5,BOATEMAA ABIGAIL,"TO SHOP CASH,ABI",1560
GH98856,BLUE CLOUD MOTORS(KOFORIDUA),2500,2026/2/4,PRINCE B,PICK UP MOMO LATIFA,9022
GH98873,POLE TO POLE (ABOSSEY OKAI),2020,2026/2/4,朱立刚,PICK UP MOMO SABINA,60849.74
GH99284,CHRIS MOTORS HEAVY DUTY (KUMASI),26000,2026/2/4,ENOCH,STATION WEEKLY 李,20860
GH10409,YELLOW MAN (MADINA),52380,2026/2/3,AKORFA,SHOP CHEQUES AKORFA,215483.05
GH99232,AFIA KRAA SPRINTER (KUMASI),3200,2026/2/3,KOFI,"KOFI,SEND TO STATION WEEKLY",11900
GH98723,O.C CALIVIC(TEMA),24000,2026/2/2,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT",70680
GH98740,BRIGHT YIADOM (ACHIMOTA),5784,2026/1/31,PRINCE B,"STEPHAINE,PICK UP PAY MOMO",47683.03
GH99124,SISTER O HEAVY DUTY (KUMASI),5000,2026/1/30,ENOCH,SEND TO STATION PAY CASH,20105
GH99335,AMA BOAKYEWAA SPRINTER (KUMASI),1300,2026/1/30,ENOCH,"DIANA,SEND TO STATION PAY HALF AND REST WHEN GOODS ARRIVED",300
GH10117,CHAIRMAN BASE AUTO PARTS (ABOSSEY OKAI),32217,2026/1/28,朱立刚,TO SHOP CREDIT,157081.24
GH10235,PAAKWESI MOTORS (ABOSSEY AKAI),2600,2026/1/27,AMOAH HILDA,SEND TO SHOP CASH ABI,8155.75
GH10089,DADA RICH BATTERY (KASOA),14200,2026/1/27,KUMBALA,SHOP CHEQUES KUMBALA 旧电池促销,85977
GH98931,ANGELS OF PHILADELPHIA ENTERPRISE,32562.9,2026/1/27,KUMBALA,STATION WEEKLY 5000 KUMBALA,12562.8
GH99280,CRYSTOM MOTORS(KUMASI),31207.5,2026/1/27,KOFI,SEND TO STATION ON CREDIT,21180.75
GH10650,GAREK ENT(BATTERY AND TYRE),10150,2026/1/26,BENEDICTA,SHOP EACH 2 WEEKS BENNY,9500
GH99278,CHAIRMAN DZODZE (VOLTA REGION),4640,2026/1/26,AKORFA,"AKORFA,SEND TO STATION WEEKKLY CASH",2639.3
GH99263,SIMGURLU ENT.(TAMALE),1925,2026/1/24,KUMBALA,STATION MOMO LATIFA,281.1
GH10038,RED J MOTOR (MADINA),72289.75,2026/1/22,AKORFA,SHOP CREDIT AKORFA,143887.23
GH10479,MAYUS AUTO ENT(UPPER WEST REGION WA),73768,2026/1/22,商宇琛,SEND TO SATTION 20000 PREPAID + 10000 TOMORROW +EVERY WEEK 10000,161104
GH10010,JABPAH ENT (TEMA),116778.3,2026/1/22,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT",83239.55
GH98841,OSIBIO ENT (TAMALE),6320,2026/1/22,KUMBALA,"KUMBALA,SEND TO STATION PAY MOMO,两件长袖",120
GH99058,ISSAC MOTORS(KOMKOMPE),9420,2026/1/22,PRINCE B,"PICK UP MOMO,STEPHANIE",4000
GH98555,EBENEZER TETTEH(KOFORIDUA),38300,2026/1/21,PRINCE B,"LATIFA,PICK UP EVERY TWO WEEKS 12000",26300
GH99125,MERCY HEAVY DUTY (KUMASI),4000,2026/1/21,ENOCH,"KOFI,SEND TO STATION WEEKLY CASH",7400
GH10099,TWO PLUS TWO BATTERY (ASHAIMAN),103960,2026/1/20,BENEDICTA,"BENEDICTA,SEND TO SHOP ON CREDIT",70002.4
GH10136,SANODA VENTURES ENT (ABOSSEY OKAI),36556,2026/1/19,PRINCE,TO SHOP CREDIT,0.4
GH10306,DORIS KUMASI,32250,2026/1/19,KOFI,STATION CREDIT 李,32230
GH10978,DAN WIREDU(KASOA),29924.5,2026/1/19,KUMBALA,PICK UP 20000 HANNAH,22584.5
GH98634,ALEX JEN,32840,2026/1/19,PRINCE B,SHOP CREDIT PRINCE B,21310
GH99171,DAVID OWUSU (KUMASI),40350,2026/1/19,ENOCH,"DIANA,SEND TO STATION WEEKLY CASH",10334
GH99016,BENZ CITY CHAIRMAN (ABOSSEY OKAI),6800,2026/1/17,AMOAH HILDA,SEND TO SHOP MOTOR RIDER CASH 下周五付两万老款,187740
